================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:58331       <-> 162.159.129.235:443            452     32574     454     54438     906     87012    12,753528000       888,0473
192.168.20.103:51788       <-> 162.159.130.234:443             78     25248      75      7253     153     32501     4,094531000       900,4464
192.168.20.103:44084       <-> 162.159.136.232:443             63     38822      57     15764     120     54586     2,371520000       324,3362
192.168.20.103:52047       <-> 8.8.8.8:853                     25     10109      27      3090      52     13199   672,135831000        65,2810
192.168.20.103:51989       <-> 8.8.8.8:853                     20      8797      22      2458      42     11255   548,271777000        53,2380
192.168.20.103:51747       <-> 8.8.8.8:853                     18      3790      20      2666      38      6456    78,561556000        57,4500
192.168.20.103:51822       <-> 8.8.8.8:853                     18      8174      20      2175      38     10349   235,149634000        39,6730
192.168.20.103:52137       <-> 8.8.8.8:853                     17      4706      19      2879      36      7585   861,540931000        45,0180
192.168.20.103:51923       <-> 8.8.8.8:853                     16      7551      18      1892      34      9443   448,280732000        22,4310
192.168.20.103:51606       <-> 8.8.8.8:853                     16      4002      17      2051      33      6053     2,337522000        51,1530
192.168.20.103:52121       <-> 8.8.8.8:853                     15      7485      18      1892      33      9377   827,628908000        30,6922
192.168.20.103:51894       <-> 8.8.8.8:853                     15      3101      17      2317      32      5418   381,151697000        43,0400
192.168.20.103:51865       <-> 8.8.8.8:853                     14      6928      16      1609      30      8537   316,358676000        28,3580
192.168.20.103:55764       <-> 162.159.133.232:443             13      4988      16      1776      29      6764     2,328531000       300,5111
192.168.20.103:48723       <-> 162.159.138.234:443             14      4768      14      1664      28      6432    31,253534000       300,2801
192.168.20.103:51797       <-> 8.8.8.8:853                     12      2412      15      2034      27      4446   175,734610000        31,9700
192.168.20.103:51783       <-> 8.8.8.8:853                     12      6305      14      1326      26      7631   146,690600000        20,1600
192.168.20.103:40938       <-> 162.159.128.233:443             12      4596      14      4889      26      9485   902,314944000         2,1990
192.168.20.103:51738       <-> 8.8.8.8:853                     11      6239      14      1326      25      7565    55,949548000        20,2110
192.168.20.103:51968       <-> 8.8.8.8:853                     12      1921      13      1751      25      3672   504,159762000        24,6350
192.168.20.103:51845       <-> 8.8.8.8:853                     11      1855      13      1751      24      3606   278,642654000        20,6910
192.168.20.103:52027       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   629,119813000        20,1480
192.168.20.103:52092       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   765,551875000        20,1470
192.168.20.103:51422       <-> 216.58.205.68:443                8      1597       8      1422      16      3019    32,193536000         0,1162
192.168.20.103:59243       <-> 216.58.208.132:443               8      1597       8      1422      16      3019   674,407842000         0,1175
192.168.20.103:57615       <-> 216.58.208.163:80                4       374       5       565       9       939    32,207536000         0,0740
192.168.20.103:60841       <-> 142.250.180.67:80                4       374       5       565       9       939   674,409844000         0,0770
192.168.20.103:47658       <-> 143.204.11.18:443                7       582       0         0       7       582   100,916784000         3,5441
192.168.20.103:50698       <-> 99.86.162.30:443                 7       582       0         0       7       582   104,771793000         3,5631
================================================================================
