================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:60118       <-> 188.122.88.206:50001          1458    300773    2211    498636    3669    799409   613,468808000        60,0180
188.122.88.206:50001       <-> 192.168.20.103:33357          2613    590365     998    200988    3611    791353   673,470836000        60,0400
188.122.88.206:50001       <-> 192.168.20.103:49449          1292    291494    2176    474983    3468    766477   313,461676000        60,7170
192.168.20.103:58270       <-> 188.122.88.206:50001           482     85845    2950    671031    3432    756876   793,473888000        60,0410
188.122.88.206:50001       <-> 192.168.20.103:43672          2714    608079     696    129412    3410    737491   733,472865000        60,0410
188.122.88.206:50001       <-> 192.168.20.103:48710          2078    464613    1273    264682    3351    729295   553,467782000        60,0190
188.122.88.206:50001       <-> 192.168.20.103:34466           759    158941    2534    575598    3293    734539   433,465728000        61,2538
188.122.88.206:50001       <-> 192.168.20.103:38477           636    134601    2639    593080    3275    727681   373,463697000        60,9954
192.168.20.103:51964       <-> 188.122.88.206:50001          2682    606026     590    123823    3272    729849   193,457616000        63,5084
188.122.88.206:50001       <-> 192.168.20.103:40335           623    136089    2598    594185    3221    730274   253,457639000        61,3051
188.122.88.206:50001       <-> 192.168.20.103:48002           528    109292    2625    588467    3153    697759   133,455585000        60,1246
188.122.88.206:50001       <-> 192.168.20.103:48320           771    165012    2104    460800    2875    625812   493,464752000        60,1939
192.168.20.103:56500       <-> 188.122.88.206:50001          2003    434080     806    170626    2809    604706    73,451555000        60,2630
192.168.20.103:54616       <-> 188.122.88.206:50001          1902    402274     545    109691    2447    511965    13,410528000        60,1116
188.122.88.206:50001       <-> 192.168.20.103:45401          1054    232478    1273    279229    2327    511707   853,476933000        47,3830
188.122.88.206:50001       <-> 192.168.20.103:39433             1       116       1       116       2       232    13,411526000         0,0381
192.168.20.103:53691       <-> 8.8.8.8:53                       1        90       1        74       2       164    32,155540000         0,0153
192.168.20.103:39597       <-> 8.8.8.8:53                       1       105       1        89       2       194    32,165537000         0,0202
192.168.20.103:7127        <-> 8.8.8.8:53                       1        90       1        74       2       164   674,369832000         0,0196
192.168.20.103:54545       <-> 8.8.8.8:53                       1       105       1        89       2       194   674,373832000         0,0196
192.168.20.103:46607       <-> 184.105.182.16:123               0         0       1        90       1        90     0,395526000         0,0000
192.168.20.103:47530       <-> 138.236.128.36:123               0         0       1        90       1        90     6,426530000         0,0000
192.168.20.103:40006       <-> 66.228.58.20:123                 0         0       1        90       1        90    12,436536000         0,0000
192.168.20.103:51014       <-> 217.180.209.214:123              0         0       1        90       1        90    78,691558000         0,0000
192.168.20.103:36207       <-> 109.236.63.122:123               0         0       1        90       1        90    84,749571000         0,0000
192.168.20.103:38506       <-> 23.94.219.121:123                0         0       1        90       1        90    90,804569000         0,0000
192.168.20.103:42288       <-> 217.180.209.214:123              0         0       1        90       1        90   156,928596000         0,0000
192.168.20.103:38418       <-> 109.236.63.122:123               0         0       1        90       1        90   162,936599000         0,0000
192.168.20.103:51234       <-> 23.94.219.121:123                0         0       1        90       1        90   168,951601000         0,0000
192.168.20.103:51957       <-> 44.190.40.123:123                0         0       1        90       1        90   235,290629000         0,0000
192.168.20.103:49744       <-> 69.89.207.99:123                 0         0       1        90       1        90   241,367632000         0,0000
192.168.20.103:38572       <-> 159.89.86.140:123                0         0       1        90       1        90   247,704639000         0,0000
192.168.20.103:40685       <-> 44.190.40.123:123                0         0       1        90       1        90   313,907673000         0,0000
192.168.20.103:48735       <-> 69.89.207.99:123                 0         0       1        90       1        90   319,925677000         0,0000
192.168.20.103:41882       <-> 159.89.86.140:123                0         0       1        90       1        90   325,939675000         0,0000
192.168.20.103:51574       <-> 217.180.209.214:123              0         0       1        90       1        90   392,018707000         0,0000
192.168.20.103:57345       <-> 108.61.73.243:123                0         0       1        90       1        90   398,100706000         0,0000
192.168.20.103:59292       <-> 72.30.35.88:123                  0         0       1        90       1        90   404,153707000         0,0000
192.168.20.103:33318       <-> 217.180.209.214:123              0         0       1        90       1        90   470,219744000         0,0000
192.168.20.103:32775       <-> 108.61.73.243:123                0         0       1        90       1        90   476,231748000         0,0000
192.168.20.103:40279       <-> 72.30.35.88:123                  0         0       1        90       1        90   482,257752000         0,0000
192.168.20.103:35618       <-> 107.21.100.177:123               0         0       1        90       1        90   548,688777000         0,0000
192.168.20.103:39456       <-> 45.79.111.167:123                0         0       1        90       1        90   554,732780000         0,0000
192.168.20.103:41773       <-> 137.190.2.4:123                  0         0       1        90       1        90   560,768785000         0,0000
192.168.20.103:47778       <-> 107.21.100.177:123               0         0       1        90       1        90   627,077811000         0,0000
192.168.20.103:34941       <-> 45.79.111.167:123                0         0       1        90       1        90   633,088816000         0,0000
192.168.20.103:43834       <-> 137.190.2.4:123                  0         0       1        90       1        90   639,099816000         0,0000
192.168.20.103:48631       <-> 192.150.149.245:123              0         0       1        90       1        90   705,267846000         0,0000
