================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:59452       <-> 162.159.129.235:443            750     50389     737     92618    1487    143007    12,078996000       927,5820
192.168.20.103:55558       <-> 162.159.133.234:443             90     26007      85      8266     175     34273     3,887999000       940,1344
192.168.20.103:60937       <-> 162.159.130.233:443             90    119469      78      5545     168    125014    15,008999000       301,8331
192.168.20.103:45203       <-> 162.159.136.232:443             69     42010      63     15446     132     57456     2,001997000       319,1641
192.168.20.103:53064       <-> 8.8.8.8:853                     25     10597      24      2626      49     13223   473,133216000        61,1211
192.168.20.103:52899       <-> 8.8.8.8:853                     24      7132      21      2919      45     10051   156,260066000        45,3800
192.168.20.103:53267       <-> 8.8.8.8:853                     20      9273      23      2536      43     11809   911,046420000        32,6350
192.168.20.103:39463       <-> 162.159.135.232:443             20      3046      21     11424      41     14470   919,839423000        24,2050
192.168.20.103:53005       <-> 8.8.8.8:853                     19      8237      20      2036      39     10273   374,148167000        46,4237
192.168.20.103:56747       <-> 142.250.180.99:443              18      7188      17      5851      35     13039     3,996994000       301,4672
192.168.20.103:53139       <-> 8.8.8.8:853                     17      3875      17      2341      34      6216   632,636288000        43,7057
192.168.20.103:52975       <-> 8.8.8.8:853                     17      7629      16      1760      33      9389   315,638143000        32,7790
192.168.20.103:52861       <-> 8.8.8.8:853                     15      7278      17      1687      32      8965   107,138044000        41,9880
192.168.20.103:52770       <-> 8.8.8.8:853                     15      3936      16      1985      31      5921     3,953997000        36,1240
192.168.20.103:49839       <-> 162.159.138.234:443             15      4789      15      1724      30      6513    20,070007000       300,6301
192.168.20.103:53205       <-> 8.8.8.8:853                     17      4718      13      1926      30      6644   781,486363000        41,6027
192.168.20.103:53178       <-> 8.8.8.8:853                     14      6928      15      1543      29      8471   716,413325000        21,8540
192.168.20.103:56883       <-> 162.159.133.232:443             12      4932      14      1656      26      6588     1,989999000       300,6291
192.168.20.103:53100       <-> 8.8.8.8:853                     13      2138      13      1763      26      3901   544,930248000        35,6140
192.168.20.103:53128       <-> 8.8.8.8:853                     14      6457      12      1194      26      7651   605,864276000        23,8871
192.168.20.103:52936       <-> 8.8.8.8:853                     15      9827      10      1074      25     10901   231,086103000        28,7980
192.168.20.103:53235       <-> 8.8.8.8:853                     12      6305      13      1260      25      7565   849,510387000        21,2797
192.168.20.103:52834       <-> 8.8.8.8:853                     11      1855      12      1685      23      3540    45,826017000        26,1850
192.168.20.103:53048       <-> 8.8.8.8:853                     11      1376      11      1480      22      2856   443,585197000        23,2320
192.168.20.103:52963       <-> 8.8.8.8:853                     10      1322      11      1468      21      2790   287,011125000        21,1050
192.168.20.103:52991       <-> 8.8.8.8:853                     10      1801      10      1565      20      3366   353,573154000        21,3750
192.168.20.103:53249       <-> 8.8.8.8:853                      9      1244      11      1468      20      2712   874,795397000        21,1025
192.168.20.103:52632       <-> 216.58.205.68:443               10      1947       9      1500      19      3447   186,565077000         0,4130
192.168.20.103:36526       <-> 142.250.180.164:443              9      1651       7      1380      16      3031    21,211001000         1,3933
192.168.20.103:36787       <-> 142.250.180.164:443              8      1597       7      1356      15      2953   506,185228000         0,8424
192.168.20.103:60473       <-> 216.58.206.35:80                 5       440       5       577      10      1017    20,326003000         0,3020
192.168.20.103:33640       <-> 142.250.180.67:80                6       608       4       511      10      1119   506,197226000         0,3600
192.168.20.103:60566       <-> 216.58.206.35:80                 4       374       4       499       8       873   183,544078000         0,3030
192.168.20.103:48163       <-> 216.58.205.68:80                 4       501       4       479       8       980   187,526091000         0,1160
================================================================================
