================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:45736       <-> 78.108.124.30:443              608     69047     604     62813    1212    131860    26,039059000       977,3405
192.168.20.103:56406       <-> 68.64.22.20:443                520     37982     511     42837    1031     80819    28,284074000       975,7844
192.168.20.103:45450       <-> 52.10.63.86:443                 82     19067      87     47706     169     66773   443,082255000       306,2766
192.168.20.103:58434       <-> 23.22.189.111:443               58     15766      75     38520     133     54286    52,455082000       354,6121
192.168.20.103:58823       <-> 23.22.189.111:443               29      5744      38     18884      67     24628   779,232414000       161,6791
192.168.20.103:59936       <-> 13.226.175.102:443              35     18345      27      3697      62     22042    10,526055000       254,9562
192.168.20.103:38993       <-> 54.146.88.2:443                 27      7551      35     34522      62     42073  1003,737514000        38,4410
192.168.20.103:58947       <-> 23.22.189.111:443               24      3833      31     16466      55     20299   943,242499000        98,5360
192.168.20.103:51889       <-> 8.8.8.8:853                     25      7542      28      3683      53     11225     9,142063000        67,4500
192.168.20.103:52527       <-> 8.8.8.8:853                     22      6018      27      3732      49      9750  1003,268517000        43,0480
192.168.20.103:35945       <-> 35.165.244.87:443               24      8707      24      6923      48     15630     9,855057000        80,2471
192.168.20.103:59939       <-> 13.226.175.102:443              24     12780      23      3192      47     15972    10,572058000       256,5164
192.168.20.103:58540       <-> 104.17.209.240:443              21      8098      23      2692      44     10790     9,253051000       300,8401
192.168.20.103:59842       <-> 35.186.241.51:443               21      7807      22     12661      43     20468    28,513062000       301,6174
192.168.20.103:59938       <-> 13.226.175.102:443              21      8254      21      2763      42     11017    10,571055000       240,7277
192.168.20.103:36091       <-> 35.165.244.87:443               19      7526      19      4914      38     12440   207,706147000       120,7072
192.168.20.103:45456       <-> 52.10.63.86:443                 19      7526      18      4848      37     12374   448,977256000       120,8276
192.168.20.103:36341       <-> 35.165.244.87:443               18      7472      19      4917      37     12389   690,350371000       120,8221
192.168.20.103:58853       <-> 23.22.189.111:443               19      2106      18     14329      37     16435   811,001424000       131,1065
192.168.20.103:58451       <-> 23.22.189.111:443               17      7392      19      4909      36     12301    86,938088000       120,5536
192.168.20.103:60529       <-> 13.226.175.102:443              18      8809      18      2648      36     11457  1004,522519000        37,3780
192.168.20.103:47041       <-> 35.190.25.25:443                17      8540      18      3989      35     12529     9,189053000       360,8242
192.168.20.103:50274       <-> 99.86.162.92:443                17      7926      18      5879      35     13805    11,343053000       323,3340
192.168.20.103:52290       <-> 8.8.8.8:853                     15      7485      18      1892      33      9377   603,970345000        34,9840
192.168.20.103:56399       <-> 68.64.22.20:443                 17      5807      15      1370      32      7177    27,159063000         1,2920
192.168.20.103:35986       <-> 35.165.244.87:443               16      7044      16      2975      32     10019    30,528071000        61,2082
192.168.20.103:58832       <-> 54.175.121.155:443              17      7418      14      1668      31      9086    11,290057000        60,6986
192.168.20.103:45683       <-> 216.58.206.67:443               15      6984      16      5742      31     12726    15,039056000       301,3556
192.168.20.103:58603       <-> 23.22.189.111:443               15      1872      16      4727      31      6599   328,371201000       120,5070
192.168.20.103:52422       <-> 8.8.8.8:853                     13      7353      18      1892      31      9245   842,571440000        32,6580
192.168.20.103:52083       <-> 8.8.8.8:853                     14      2544      16      2100      30      4644   207,591144000        47,5670
192.168.20.103:52223       <-> 8.8.8.8:853                     14      6928      16      1609      30      8537   467,652268000        33,0100
192.168.20.103:58975       <-> 23.22.189.111:443               14      7129      16      3688      30     10817  1003,468518000        38,3260
192.168.20.103:47561       <-> 143.204.11.72:443               14      7331      15      3744      29     11075    27,508067000       300,1996
192.168.20.103:52045       <-> 8.8.8.8:853                     13      6862      16      1609      29      8471   166,387123000        31,5550
192.168.20.103:58716       <-> 23.22.189.111:443               14      1806      15      4572      29      6378   569,754317000       120,4805
192.168.20.103:52323       <-> 8.8.8.8:853                     13      2478      16      2100      29      4578   660,354357000        50,0320
192.168.20.103:60532       <-> 13.226.175.102:443              14      5869      15      2615      29      8484  1004,729516000        36,9720
192.168.20.103:54171       <-> 143.204.11.36:443               13      8243      15      1550      28      9793    27,620070000       301,7001
