================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:34516       <-> 78.108.124.37:443              700     76994     692     72260    1392    149254    14,965093000      1127,1955
192.168.20.103:57239       <-> 68.64.22.20:443                583     41228     579     48645    1162     89873    17,340090000      1126,2345
192.168.20.103:59274       <-> 23.22.189.111:443               45     14055      60     27584     105     41639   334,771239000       246,1780
192.168.20.103:56845       <-> 34.235.193.186:443              34     11856      46     22902      80     34758  1000,836550000       148,2651
192.168.20.103:52788       <-> 8.8.8.8:853                     29      9279      34      4532      63     13811     0,805090000        56,0520
192.168.20.103:39297       <-> 54.146.88.2:443                 23      7192      40     40849      63     48041   439,180289000       300,7631
192.168.20.103:56831       <-> 34.235.193.186:443              27      9755      35     15237      62     24992   635,009382000       181,5955
192.168.20.103:46651       <-> 13.226.175.112:443              32     17011      29      3805      61     20816     2,202084000       252,3082
192.168.20.103:39329       <-> 54.146.88.2:443                 21      1798      38     44058      59     45856  1143,048617000         5,7270
192.168.20.103:46653       <-> 13.226.175.112:443              25     12808      24      3258      49     16066     2,204088000       253,8633
192.168.20.103:47896       <-> 35.190.25.25:443                23     11662      24      5491      47     17153     0,852085000       448,6562
192.168.20.103:59238       <-> 23.22.189.111:443               23      8910      24      7889      47     16799     1,516084000        96,3742
192.168.20.103:56817       <-> 34.235.193.186:443              22      8574      25      8656      47     17230   213,680185000       109,1713
192.168.20.103:59395       <-> 104.17.209.240:443              23      8229      23      2692      46     10921     0,988085000       300,7511
192.168.20.103:60672       <-> 35.186.241.51:443               21      8366      25     15182      46     23548    16,918094000       345,0612
192.168.20.103:36825       <-> 35.165.244.87:443               23      8641      22      6873      45     15514   146,863152000        62,8576
192.168.20.103:48459       <-> 99.86.162.45:443                20      8521      21      8108      41     16629     2,740087000       329,9772
192.168.20.103:59294       <-> 23.22.189.111:443               20      7874      21      7425      41     15299   855,648482000        93,9147
192.168.20.103:46055       <-> 52.10.63.86:443                 19      7526      19      4889      38     12415    76,141122000       120,6863
192.168.20.103:59297       <-> 23.22.189.111:443               18      7457      20      5016      38     12473   920,944512000       120,4476
192.168.20.103:59270       <-> 23.22.189.111:443               18      7446      18      4833      36     12279   196,808174000       120,4102
192.168.20.103:36848       <-> 35.165.244.87:443               18      7472      18      4837      36     12309   679,567405000       120,7030
192.168.20.103:52863       <-> 8.8.8.8:853                     17      9090      19      2388      36     11478  1141,935617000         2,8290
192.168.20.103:46652       <-> 13.226.175.112:443              19      8094      16      2421      35     10515     2,203086000       240,7932
192.168.20.103:59273       <-> 23.22.189.111:443               18      7445      17      4816      35     12261   317,436232000       120,5629
192.168.20.103:59517       <-> 142.250.180.131:443             17      7326      17      5403      34     12729     2,670086000       304,7175
192.168.20.103:56801       <-> 34.235.193.186:443              17      7096      17      3128      34     10224    19,749098000        60,6254
192.168.20.103:59283       <-> 23.22.189.111:443               17      7380      17      4769      34     12149   558,871345000       120,4474
192.168.20.103:40466       <-> 13.226.175.62:443               18      8805      16      2516      34     11321  1143,916625000         4,6250
192.168.20.103:56858       <-> 34.235.193.186:443              15      7478      18      4698      33     12176  1142,927617000         5,5010
192.168.20.103:46056       <-> 52.10.63.86:443                 16      7044      16      2867      32      9911   107,631134000        61,1710
192.168.20.103:52815       <-> 8.8.8.8:853                     14      3035      18      2383      32      5418   135,593149000        49,5750
192.168.20.103:36075       <-> 34.206.99.180:443               17      7417      14      1668      31      9085     3,022092000        60,7061
192.168.20.103:52823       <-> 8.8.8.8:853                     14      6928      17      1675      31      8603   196,673177000        37,0460
192.168.20.103:46075       <-> 52.10.63.86:443                 14      1818      17      6057      31      7875   438,045295000       120,9095
192.168.20.103:46088       <-> 52.10.63.86:443                 15      1872      16      4630      31      6502   800,213464000       120,7847
192.168.20.103:52854       <-> 8.8.8.8:853                     14      6928      16      1609      30      8537  1041,484571000        20,9540
192.168.20.103:56847       <-> 34.235.193.186:443              14      7129      16      4679      30     11808  1041,606569000       106,8231
192.168.20.103:57234       <-> 68.64.22.20:443                 17      5807      12      1190      29      6997    16,153094000         1,3800
192.168.20.103:36055       <-> 143.204.11.7:443                14      7331      15      3744      29     11075    16,300093000       300,1927
192.168.20.103:49863       <-> 143.204.11.15:443               15      8392      14      1484      29      9876    16,491095000       301,6848
192.168.20.103:40469       <-> 13.226.175.62:443               14      5907      15      2615      29      8522  1143,961621000         4,3740
192.168.20.103:52831       <-> 8.8.8.8:853                     12      2412      15      2034      27      4446   437,843291000        21,3670
192.168.20.103:59762       <-> 54.175.121.155:443              13      7101      14      1934      27      9035  1144,480616000         3,9500
192.168.20.103:41216       <-> 68.64.5.152:443                 14      5896      12      1588      26      7484    34,800100000         1,2826
192.168.20.103:40462       <-> 13.226.175.62:443               13      1538      13      1850      26      3388  1142,096615000         1,7090
192.168.20.103:52812       <-> 8.8.8.8:853                     11      6239      14      1326      25      7565    76,035120000        20,1380
192.168.20.103:52829       <-> 8.8.8.8:853                     11      6239      14      1326      25      7565   396,846268000        20,1430
192.168.20.103:52836       <-> 8.8.8.8:853                     11      6239      14      1326      25      7565   558,752342000        20,1520
192.168.20.103:52845       <-> 8.8.8.8:853                     11      6239      14      1326      25      7565   800,083461000        20,1680
192.168.20.103:52850       <-> 8.8.8.8:853                     12      6305      13      1260      25      7565   920,825518000        20,1490
192.168.20.103:52847       <-> 8.8.8.8:853                     11      1855      13      1751      24      3606   855,535484000        34,5070
192.168.20.103:52840       <-> 8.8.8.8:853                     11      6239      12      1194      23      7433   679,446403000        20,1620
192.168.20.103:52858       <-> 8.8.8.8:853                     10      1789      13      1751      23      3540  1066,189587000        21,2110
192.168.20.103:40468       <-> 13.226.175.62:443               11      1772      12      2411      23      4183  1143,957622000         4,3790
192.168.20.103:46650       <-> 13.226.175.112:443              10      6585      12      1511      22      8096     2,201087000         0,1980
192.168.20.103:40467       <-> 13.226.175.62:443               10      6585      12      1511      22      8096  1143,920619000         0,1250
192.168.20.103:60740       <-> 35.186.241.51:443               10      2778      12      2521      22      5299  1144,769623000         3,5640
192.168.20.103:52826       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   317,327991000        20,1433
192.168.20.103:52838       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   634,897381000        20,1470
192.168.20.103:52842       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   740,127435000        20,1500
192.168.20.103:60738       <-> 35.186.241.51:443                9      1911      11      5105      20      7016  1144,459617000         4,0850
192.168.20.103:52852       <-> 8.8.8.8:853                      9      1232      10      1402      19      2634  1000,500550000        20,3650
192.168.20.103:34718       <-> 68.64.22.20:8200                 8      4833      10       764      18      5597    17,121095000         0,3880
192.168.20.103:56857       <-> 34.235.193.186:443               8      1073      10      2477      18      3550  1142,263617000         6,5340
192.168.20.103:43316       <-> 142.250.180.100:443              8      1597       8      1422      16      3019   166,214168000         0,1223
192.168.20.103:57633       <-> 216.58.205.68:443                8      1597       8      1422      16      3019  1068,441585000         0,1313
192.168.20.103:59504       <-> 142.250.184.35:80                4       374       5       565       9       939   166,229165000         0,0790
