================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:37193       <-> 142.250.82.99:19305           2137    242352    3075    319264    5212    561616     0,302001000       917,8724
192.168.20.103:35053       <-> 142.250.184.106:443           1420    192838     871    285199    2291    478037     6,729007000       914,7244
192.168.20.103:35048       <-> 142.250.184.106:443            771    100560     728    110467    1499    211027     2,805999000       918,6464
192.168.20.103:48802       <-> 142.250.180.129:443             20     12261      20      2275      40     14536    11,114002000       240,3151
192.168.20.103:38687       <-> 142.250.82.99:19305             12      1262      17      1672      29      2934    22,542009000       118,9060
192.168.20.103:33601       <-> 8.8.8.8:853                     12      6306      14      1326      26      7632   269,535125000        20,1860
192.168.20.103:33606       <-> 8.8.8.8:853                     12      6306      14      1326      26      7632   792,391369000        20,1810
192.168.20.103:33599       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700    10,978003000        20,1647
192.168.20.103:33603       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   700,184324000        20,1380
192.168.20.103:33607       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   880,369409000        20,1770
192.168.20.103:33609       <-> 8.8.8.8:853                      9      6108       7       841      16      6949   921,489427000         0,1710
192.168.20.103:51296       <-> 142.250.184.42:443               4       337       3       261       7       598    40,088023000         0,0900
192.168.20.103:34996       <-> 142.250.184.106:443              3       327       3       198       6       525    48,539661000         5,0414
192.168.20.103:51468       <-> 142.250.180.74:443               3       327       3       198       6       525   197,476688000         5,0394
192.168.20.103:48360       <-> 142.250.180.138:443              2       120       2       156       4       276    43,025497000        77,6034
192.168.20.103:38990       <-> 216.58.206.74:443                2       120       2       155       4       275    46,185844000        77,6604
192.168.20.103:59793       <-> 142.250.180.162:443              2       120       2       156       4       276    46,223814000        77,6244
192.168.20.103:39035       <-> 216.58.206.74:443                2       120       2       156       4       276    48,448651000        77,6214
192.168.20.103:54451       <-> 142.250.184.110:443              2       120       2       156       4       276    78,244069000        77,7154
192.168.20.103:48437       <-> 142.250.180.138:443              2       120       2       156       4       276   195,679634000        60,0506
192.168.20.103:43816       <-> 142.250.184.74:443               2       205       2       132       4       337   196,117399000         0,0207
================================================================================
