================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:39672       <-> 142.250.82.99:19305           2328    266300    3207    337600    5535    603900     5,877005000       910,4664
192.168.20.103:53992       <-> 142.250.184.106:443           1442    204033     917    314685    2359    518718     5,349005000       914,5364
192.168.20.103:59128       <-> 142.250.180.74:443             797    110277     719    111329    1516    221606     0,122001000       919,7624
192.168.20.103:60654       <-> 216.58.206.74:443               67     14468      53     21805     120     36273   113,153057000       247,3511
192.168.20.103:39675       <-> 142.250.82.99:19305             22      2306      31      3052      53      5358     5,871004000       103,4890
192.168.20.103:54471       <-> 142.250.180.65:443              23     11414      22      2531      45     13945   294,390139000       240,3261
192.168.20.103:60653       <-> 216.58.206.74:443               19      7341      20     10693      39     18034   111,824053000       300,4095
192.168.20.103:39061       <-> 8.8.8.8:853                     17      6660      19      1679      36      8339   887,898416000        21,3050
192.168.20.103:39042       <-> 8.8.8.8:853                     14      3035      17      2317      31      5352     0,000000000        25,3840
192.168.20.103:39046       <-> 8.8.8.8:853                     13      6863      17      1675      30      8538    94,163047000        39,0160
192.168.20.103:39052       <-> 8.8.8.8:853                     13      6863      17      1675      30      8538   233,544109000        39,4700
192.168.20.103:50484       <-> 142.250.180.174:443             14      7227      13      2906      27     10133   430,699205000       300,5205
192.168.20.103:39058       <-> 8.8.8.8:853                     12      6306      14      1326      26      7632   317,639162000        20,1620
192.168.20.103:39055       <-> 8.8.8.8:853                     10      1449      11      1480      21      2929   294,044139000        20,3680
192.168.20.103:39050       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   208,598100000        20,1520
192.168.20.103:39059       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   430,582202000        20,1500
192.168.20.103:42910       <-> 142.250.82.99:443                8       709       9       792      17      1501     5,880002000        39,2206
192.168.20.103:52865       <-> 142.250.82.99:443                7       643       9       804      16      1447     5,883004000        38,9937
192.168.20.103:57155       <-> 216.58.209.42:443                4       337       4       327       8       664   178,921576000         0,0695
192.168.20.103:34378       <-> 142.250.184.42:443               3       327       3       198       6       525   186,404704000         5,0434
192.168.20.103:60636       <-> 216.58.206.74:443                2       120       2       156       4       276   180,344871000        60,0356
192.168.20.103:36353       <-> 172.217.21.74:443                2       120       2       155       4       275   182,496722000        60,0896
192.168.20.103:47801       <-> 216.58.198.2:443                 2       120       2       156       4       276   182,740592000        60,0176
192.168.20.103:36370       <-> 172.217.21.74:443                2       120       2       156       4       276   184,846489000        60,0676
192.168.20.103:56156       <-> 142.250.184.110:443              2       120       2       156       4       276   223,471272000        60,1066
================================================================================
