================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:48352       <-> 13.83.65.43:443                 71     24965      99     81188     170    106153     1,912016000       923,4224
192.168.20.103:58462       <-> 52.114.104.80:443               99     35536      57     30697     156     66233    11,447007000       903,4174
192.168.20.103:48351       <-> 13.83.65.43:443                 55     24976      81     67021     136     91997     1,632000000       913,9875
192.168.20.103:43794       <-> 51.140.202.63:443               33     12399      50      6828      83     19227     9,486005000       904,6553
192.168.20.103:50696       <-> 20.50.201.200:443               30      9175      52     57131      82     66306    12,558010000       184,1916
192.168.20.103:34369       <-> 68.232.34.200:443               49     50872      31      3600      80     54472   152,914071000       179,9513
192.168.20.103:34370       <-> 68.232.34.200:443               41     47059      39      3225      80     50284   153,289071000       300,2641
192.168.20.103:47548       <-> 20.42.73.25:443                 30      7079      40     40976      70     48055   914,941426000         1,0550
192.168.20.103:50644       <-> 8.8.8.8:853                     32     11441      36      5268      68     16709     0,000000000        39,8490
192.168.20.103:40086       <-> 204.79.197.200:443              20     10438      21      1963      41     12401     5,189005000         3,4620
192.168.20.103:53924       <-> 52.232.209.85:443               12      6463      28      3461      40      9924    19,820008000       830,9774
192.168.20.103:34375       <-> 68.232.34.200:443               22      9596      18      2291      40     11887   246,744113000       179,1616
192.168.20.103:34380       <-> 68.232.34.200:443               22      9597      18      2292      40     11889   486,821232000       180,6661
192.168.20.103:34384       <-> 68.232.34.200:443               22      9597      18      2292      40     11889   726,859340000       173,2693
192.168.20.103:34361       <-> 68.232.34.200:443               19      9333      19      2018      38     11351     6,763007000        10,7450
192.168.20.103:48353       <-> 13.83.65.43:443                 16      9732      21      9438      37     19170     1,930008000         5,4000
192.168.20.103:34368       <-> 68.232.34.200:443               17      9220      16      2284      33     11504   152,896070000         0,2620
192.168.20.103:35172       <-> 13.107.3.128:443                17      8383      15      2181      32     10564   915,500426000         0,1420
192.168.20.103:50691       <-> 8.8.8.8:853                     14      4508      17      2747      31      7255   914,841428000         9,6500
192.168.20.103:50009       <-> 40.114.211.99:443               13      7357      15      2301      28      9658     6,732007000         2,4200
192.168.20.103:55546       <-> 51.105.197.41:443               13      7468      15      2391      28      9859     8,841011000       238,1671
192.168.20.103:55547       <-> 51.105.197.41:443               13      7452      15      2375      28      9827     8,845006000       300,2831
192.168.20.103:50681       <-> 8.8.8.8:853                     13      6849      15      1404      28      8253   372,419175000        20,1920
192.168.20.103:54079       <-> 13.94.251.244:443               13      7109      14      2005      27      9114     6,437007000         2,6980
192.168.20.103:50685       <-> 8.8.8.8:853                     13      6372      14      1326      27      7698   631,856297000        20,1960
192.168.20.103:48355       <-> 13.83.65.43:443                 11      7229      15      3723      26     10952     2,937001000         3,8770
192.168.20.103:48356       <-> 13.83.65.43:443                 11      7264      15      3859      26     11123     2,957999000         4,1690
192.168.20.103:50690       <-> 8.8.8.8:853                     12      6306      14      1326      26      7632   853,575398000        20,1660
192.168.20.103:50675       <-> 8.8.8.8:853                     11      6240      14      1326      25      7566   211,665100000        20,1810
192.168.20.103:33842       <-> 52.233.193.153:443              10      6598      14      4188      24     10786     1,525006000         0,3246
192.168.20.103:50032       <-> 40.127.110.237:443              12      7055      12      1892      24      8947   486,513233000       125,4342
192.168.20.103:50686       <-> 8.8.8.8:853                     11      1855      13      1751      24      3606   726,402336000        20,4910
192.168.20.103:50036       <-> 40.127.110.237:443              12      7055      12      1892      24      8947   726,541338000       125,4455
192.168.20.103:50038       <-> 40.114.211.99:443               12      7305      12      2107      24      9412   917,332427000         0,2681
192.168.20.103:51717       <-> 20.44.10.123:443                10      7201      14      5163      24     12364   924,493435000         0,6930
192.168.20.103:54094       <-> 13.94.251.244:443               12      7055      11      1832      23      8887   246,491115000       124,6543
192.168.20.103:50682       <-> 8.8.8.8:853                     10      1789      13      1751      23      3540   486,394225000        20,4610
192.168.20.103:42469       <-> 142.250.180.106:443             11      2592      11      3852      22      6444   211,808098000       300,3045
192.168.20.103:55574       <-> 51.105.197.41:443               11      7283      11      2413      22      9696   917,622426000         0,3300
192.168.20.103:55575       <-> 51.105.197.41:443               11      7267      11      2397      22      9664   917,626426000         0,3160
192.168.20.103:50671       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700    98,905059000        20,1400
192.168.20.103:50677       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   246,380113000        20,1490
192.168.20.103:51445       <-> 13.107.4.52:80                   4       748       4       402       8      1150     1,476001000        63,0098
192.168.20.103:38408       <-> 40.70.161.7:443                  0         0       7       518       7       518     2,049004000        63,1280
192.168.20.103:40083       <-> 108.177.119.188:5228             2       740       2       170       4       910    17,489412000         0,1120
192.168.20.103:38985       <-> 142.250.180.170:443              2       120       2       156       4       276   196,847577000        60,0326
================================================================================
