1634286732.556415000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.233.193.153	6	33842	443	prod.registrar.skype.com
1634286732.801418000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.83.65.43	6	48351	443	azwus1-client-s.gateway.messenger.live.com
1634286733.067419000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.83.65.43	6	48352	443	azwus1-client-s.gateway.messenger.live.com
1634286733.091417000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.83.65.43	6	48353	443	azwus1-client-s.gateway.messenger.live.com
1634286734.093431000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.83.65.43	6	48355	443	azwus1-client-s.gateway.messenger.live.com
1634286734.116416000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.83.65.43	6	48356	443	azwus1-client-s.gateway.messenger.live.com
1634286736.172415000	eth:ethertype:ip:tcp:tls	192.168.20.103	204.79.197.200	6	40086	443	www.bing.com
1634286737.447420000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.94.251.244	6	54079	443	static.asm.skype.com
1634286737.744418000	eth:ethertype:ip:tcp:tls	192.168.20.103	40.114.211.99	6	50009	443	consumer.entitlement.skype.com
1634286737.772417000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34361	443	static-asm.secure.skypeassets.com
1634286739.851427000	eth:ethertype:ip:tcp:tls	192.168.20.103	51.105.197.41	6	55546	443	api.skype.com
1634286739.855419000	eth:ethertype:ip:tcp:tls	192.168.20.103	51.105.197.41	6	55547	443	api.skype.com
1634286740.547422000	eth:ethertype:ip:tcp:tls	192.168.20.103	51.140.202.63	6	43794	443	trouter-azsc-ukwe-0-a.trouter.skype.com
1634286742.454419000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.114.104.80	6	58462	443	broker-frce-08.broker.skype.com
1634286743.575426000	eth:ethertype:ip:tcp:tls	192.168.20.103	20.50.201.200	6	50696	443	browser.pipe.aria.microsoft.com
1634286751.930423000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.232.209.85	6	53924	443	in.appcenter.ms
1634286883.960485000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34369	443	static-asm.secure.skypeassets.com
1634286883.961488000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34368	443	static-asm.secure.skypeassets.com
1634286883.995488000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34369	443	static-asm.secure.skypeassets.com
1634286883.997486000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34368	443	static-asm.secure.skypeassets.com
1634286884.297487000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34370	443	static-asm.secure.skypeassets.com
1634286942.807517000	eth:ethertype:ip:tcp:tls	192.168.20.103	142.250.180.106	6	42469	443	play.googleapis.com
1634286977.502528000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.94.251.244	6	54094	443	static.asm.skype.com
1634286977.753533000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34375	443	static-asm.secure.skypeassets.com
1634287217.534639000	eth:ethertype:ip:tcp:tls	192.168.20.103	40.127.110.237	6	50032	443	static.asm.skype.com
1634287217.829643000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34380	443	static-asm.secure.skypeassets.com
1634287457.567754000	eth:ethertype:ip:tcp:tls	192.168.20.103	40.127.110.237	6	50036	443	static.asm.skype.com
1634287457.886756000	eth:ethertype:ip:tcp:tls	192.168.20.103	68.232.34.200	6	34384	443	static-asm.secure.skypeassets.com
1634287646.027843000	eth:ethertype:ip:tcp:tls	192.168.20.103	20.42.73.25	6	47548	443	ic3.events.data.microsoft.com
1634287646.483842000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.107.3.128	6	35172	443	edge.skype.com
1634287648.341843000	eth:ethertype:ip:tcp:tls	192.168.20.103	40.114.211.99	6	50038	443	consumer.entitlement.skype.com
1634287648.631866000	eth:ethertype:ip:tcp:tls	192.168.20.103	51.105.197.41	6	55574	443	api.skype.com
1634287648.637857000	eth:ethertype:ip:tcp:tls	192.168.20.103	51.105.197.41	6	55575	443	api.skype.com
1634287655.612846000	eth:ethertype:ip:tcp:tls	192.168.20.103	20.44.10.123	6	51717	443	browser.pipe.aria.microsoft.com
