================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:63187       <-> 93.34.32.30:32700            46405   6391618   46873   7299917   93278  13691535    12,150013000       902,0864
93.34.32.30:32713          <-> 192.168.20.103:32145          1196    158616    1257    166520    2453    325136    16,918011000       897,5334
192.168.20.103:40099       <-> 52.114.104.32:3478              56     13092      41     11436      97     24528    11,300005000       903,6649
192.168.20.103:63187       <-> 20.202.0.105:3478               44     10464      50     13308      94     23772    11,204007000       903,1082
192.168.20.103:32145       <-> 20.202.0.111:3478               44     10464      47     12414      91     22878    16,809009000       897,7071
192.168.20.103:63187       <-> 20.202.0.17:3478                 7      1461       1       110       8      1571    11,143017000        22,6938
192.168.20.103:32145       <-> 20.202.0.17:3478                 6      1215       1       110       7      1325    16,741008000        21,8873
192.168.20.103:63187       <-> 192.168.1.152:22339              0         0       5       770       5       770    12,098006000         1,2490
192.168.20.103:32699       <-> 20.202.0.17:3478                 3       697       1       110       4       807    11,158008000         2,4465
192.168.1.152:52424        <-> 192.168.20.103:32145             4       616       0         0       4       616    17,199010000         0,9860
192.168.20.103:32699       <-> 20.202.0.21:3478                 0         0       2       484       2       484    11,207007000         2,3670
================================================================================
