================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.103:35665       <-> 52.114.88.200:443              108     40095      68     31976     176     72071    19,728959000       918,5664
192.168.20.103:48401       <-> 13.83.65.43:443                 62     25222      86     72410     148     97632     9,560954000       933,6875
192.168.20.103:42533       <-> 142.250.180.106:443             78     16265      58     31263     136     47528   763,276306000         3,1666
192.168.20.103:48418       <-> 13.83.65.43:443                 37     13835      48     34677      85     48512   112,142003000       827,7524
192.168.20.103:60732       <-> 51.140.202.63:443               33     11913      50      6549      83     18462    16,094955000       926,4708
192.168.20.103:41319       <-> 20.189.173.6:443                37      9466      46     49772      83     59238    30,598960000        17,1220
192.168.20.103:48403       <-> 13.83.65.43:443                 32     13539      46     31603      78     45142     9,802952000       187,7081
192.168.20.103:50699       <-> 8.8.8.8:853                     36     12687      38      5702      74     18389     9,296954000        41,3410
192.168.20.103:54396       <-> 40.79.197.34:443                24      6910      35     31475      59     38385   938,342387000         4,1670
192.168.20.103:44609       <-> 142.250.184.110:443             24     15248      22      6874      46     22122   511,255186000       245,4151
192.168.20.103:34427       <-> 68.232.34.200:443               20      9465      20      2422      40     11887   261,046071000       180,6158
192.168.20.103:34430       <-> 68.232.34.200:443               23      9663      17      2226      40     11889   494,645179000       180,1997
192.168.20.103:34434       <-> 68.232.34.200:443               22      9619      18      2292      40     11911   734,500291000       179,8932
192.168.20.103:40137       <-> 204.79.197.200:443              19     10382      20      1909      39     12291    14,181958000         1,7640
192.168.20.103:39591       <-> 13.107.254.128:443              19      8491      19      2422      38     10913   938,920387000         3,4060
192.168.20.103:59737       <-> 40.70.161.102:443               12      6454      25      3522      37      9976   118,236006000       708,2183
192.168.20.103:34411       <-> 68.232.34.200:443               18      9267      16      1828      34     11095    14,350962000        27,6990
192.168.20.103:44691       <-> 20.189.173.1:443                14      7882      20      7433      34     15315    56,560976000        56,6380
192.168.20.103:46396       <-> 20.189.173.14:443               15      8326      19      7041      34     15367   131,395013000       191,3880
192.168.20.103:50736       <-> 8.8.8.8:853                     15      3101      18      2383      33      5484   733,991289000        49,8975
192.168.20.103:50742       <-> 8.8.8.8:853                     15      8959      18      2322      33     11281   938,203384000         1,2490
192.168.20.103:48404       <-> 13.83.65.43:443                 13      8735      18      6832      31     15567     9,823955000         4,8430
192.168.20.103:50725       <-> 8.8.8.8:853                     13      7354      18      1892      31      9246   112,834005000        38,8136
192.168.20.103:50732       <-> 8.8.8.8:853                     15      7007      16      1609      31      8616   493,983183000        37,5257
192.168.20.103:55596       <-> 51.105.197.41:443               14      7522      16      2457      30      9979    15,663955000        97,3328
192.168.20.103:50059       <-> 40.114.211.99:443               14      7413      15      2301      29      9714    14,321962000         1,6760
192.168.20.103:55597       <-> 51.105.197.41:443               14      7506      15      2375      29      9881    15,673958000        97,3408
192.168.20.103:54128       <-> 13.94.251.244:443               13      7109      14      2005      27      9114    13,316956000         2,1750
192.168.20.103:53973       <-> 52.232.209.85:443               13      6517      14      2126      27      8643    19,358957000        93,8907
192.168.20.103:50089       <-> 40.114.211.99:443               13      7359      14      2215      27      9574   939,027384000         3,2980
192.168.20.103:48405       <-> 13.83.65.43:443                 11      7469      15      3957      26     11426    11,660955000         3,3560
192.168.20.103:48406       <-> 13.83.65.43:443                 11      7686      15      3940      26     11626    11,673957000         3,2050
192.168.20.103:55625       <-> 51.105.197.41:443               12      7349      13      2206      25      9555   939,441384000         3,0890
192.168.20.103:55626       <-> 51.105.197.41:443               12      7333      13      2190      25      9523   939,454388000         2,8730
192.168.20.103:58878       <-> 52.178.103.218:443              10      6598      14      4188      24     10786     9,378953000         0,3389
192.168.20.103:50086       <-> 40.127.110.237:443              12      7055      12      1892      24      8947   734,119288000       126,5813
192.168.20.103:54146       <-> 13.94.251.244:443               13      8569      10      1740      23     10309   254,154072000       126,0399
192.168.20.103:54149       <-> 13.94.251.244:443               12      7055      11      1832      23      8887   494,332181000       124,9557
192.168.20.103:48417       <-> 13.83.65.43:443                 10      7021      12      3589      22     10610   112,123000000       124,7000
192.168.20.103:48419       <-> 13.83.65.43:443                 10      7523      12      3665      22     11188   112,168003000       123,1728
192.168.20.103:50729       <-> 8.8.8.8:853                     10      1789      12      1685      22      3474   253,979068000        27,1010
192.168.20.103:50720       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700    56,429980000        20,1640
192.168.20.103:42532       <-> 142.250.180.106:443              9      2258       9      3148      18      5406   750,720299000         0,2000
192.168.20.103:58901       <-> 216.58.209.42:443                9      2798       8      2312      17      5110   763,857302000         0,1470
192.168.20.103:51495       <-> 13.107.4.52:80                   4       748       4       402       8      1150     9,337956000        65,5228
192.168.20.103:35936       <-> 216.58.206.42:443                4       466       3       210       7       676   236,829994000         5,0451
192.168.20.103:56864       <-> 52.177.138.113:443               3       170       3       369       6       539     9,771955000         0,2177
192.168.20.103:38475       <-> 40.70.161.7:443                  3       170       3       705       6       875   112,952017000         0,2107
192.168.20.103:40083       <-> 108.177.119.188:5228             2       739       2       170       4       909    42,113865000         0,2279
192.168.20.103:49872       <-> 142.250.184.106:443              2       120       2       155       4       275   235,267813000        60,0226
192.168.20.103:49873       <-> 142.250.184.106:443              2       120       2       156       4       276   235,893486000        60,0506
192.168.20.103:52252       <-> 172.217.21.74:443                2       120       2       156       4       276   236,452197000        60,2559
192.168.20.103:53924       <-> 52.232.209.85:443                0         0       3       291       3       291     9,364952000       240,6471
================================================================================
