================================================================================
UDP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
93.34.32.30:31993          <-> 192.168.20.103:29883        111681  80369046  131217  91904746  242898 172273792    20,511960000       918,1469
192.168.20.103:51840       <-> 93.34.32.30:32013             1179    158046    1105    146314    2284    304360    32,241971000       906,6228
192.168.20.103:38638       <-> 52.114.104.37:3478             103     21562      61     19874     164     41436    19,539964000       918,7291
192.168.20.103:29883       <-> 20.202.4.57:3478                43     10226      49     13032      92     23258    19,464958000       917,2629
192.168.20.103:51840       <-> 20.202.4.76:3478                43     10226      45     11836      88     22062    32,089974000       905,7003
192.168.20.103:29883       <-> 20.202.4.102:3478                7      1461       1       110       8      1571    19,404963000        26,3120
192.168.1.152:41614        <-> 192.168.20.103:29883             5       770       0         0       5       770    20,458956000         1,2550
192.168.20.103:51840       <-> 20.202.4.102:3478                4       873       1       110       5       983    32,017965000        22,0207
192.168.20.103:40084       <-> 142.250.184.110:443              0         0       5      6960       5      6960   511,254188000         4,0350
192.168.20.103:39293       <-> 142.250.180.106:443              0         0       5      6960       5      6960   764,242313000         4,0400
192.168.20.103:51840       <-> 192.168.1.152:38224              0         0       4       616       4       616    32,189967000         1,3220
192.168.20.103:40804       <-> 142.250.180.106:443              0         0       4      5568       4      5568   764,397304000         2,2010
192.168.20.103:22014       <-> 20.202.4.102:3478                2       467       1       110       3       577    19,419958000         0,0807
192.168.20.103:22014       <-> 20.202.4.76:3478                 0         0       2       484       2       484    19,466958000       916,8314
================================================================================
