================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.20.102:51261       <-> 99.77.157.108:443             1102     86807    1089    234816    2191    321623    18,816998000       889,4093
192.168.20.102:44629       <-> 3.68.63.139:443                311     55596     308     28978     619     84574     0,129991000       917,4844
192.168.20.102:33625       <-> 3.67.35.217:443                 78     21327     133     26522     211     47849     1,933993000       915,5964
192.168.20.102:45162       <-> 3.68.170.153:443                85     20246      86     83045     171    103291    59,879019000       857,6564
192.168.20.102:46585       <-> 3.68.175.98:443                 64     20595      61      8984     125     29579     0,046990000       215,3245
192.168.20.102:59987       <-> 8.8.8.8:853                     35     14709      38      4897      73     19606   792,433360000       100,2640
192.168.20.102:59171       <-> 8.8.8.8:853                     35     11639      37      5195      72     16834     0,000000000        83,8280
192.168.20.102:36634       <-> 18.66.196.69:443                25      7456      34      3554      59     11010    12,735996000       300,1801
192.168.20.102:55591       <-> 99.77.190.2:443                 25      8210      33      3697      58     11907    17,648996000       300,2351
192.168.20.102:59867       <-> 8.8.8.8:853                     26     10678      26      3036      52     13714   653,188295000        59,4660
192.168.20.102:51038       <-> 99.77.135.74:443                18      7730      23      3328      41     11058    19,446003000       888,7244
192.168.20.102:45825       <-> 18.159.197.225:443              22      7087      19      3645      41     10732   910,292413000         7,4660
192.168.20.102:59542       <-> 8.8.8.8:853                     18      4281      22      2949      40      7230   298,619127000        54,0320
192.168.20.102:59588       <-> 8.8.8.8:853                     20      9300      20      2338      40     11638   353,087163000        59,7621
192.168.20.102:59731       <-> 8.8.8.8:853                     18      8174      21      2241      39     10415   495,026220000        44,4650
192.168.20.102:59936       <-> 8.8.8.8:853                     17      4227      20      2678      37      6905   726,798333000        61,6840
192.168.20.102:59501       <-> 8.8.8.8:853                     20      9300      16      1923      36     11223   252,513111000        40,6470
192.168.20.102:59325       <-> 8.8.8.8:853                     17      4215      18      2546      35      6761    87,236031000        55,1700
192.168.20.102:59455       <-> 8.8.8.8:853                     16      3167      19      2449      35      5616   192,458083000        56,1020
192.168.20.102:59685       <-> 8.8.8.8:853                     15      3101      19      2449      34      5550   434,462191000        58,1074
192.168.20.102:59428       <-> 8.8.8.8:853                     15      7485      17      1826      32      9311   157,915060000        29,7970
192.168.20.102:39558       <-> 52.204.91.203:443               15      5385      16      7693      31     13078    33,088005000        59,9200
192.168.20.102:59779       <-> 8.8.8.8:853                     14      2544      17      2166      31      4710   555,682250000        53,3315
192.168.20.102:60078       <-> 8.8.8.8:853                     14      4017      17      2596      31      6613   903,771407000        13,5240
192.168.20.102:39504       <-> 52.204.91.203:443               14      5319      16      5383      30     10702     2,639992000        30,3330
192.168.20.102:39556       <-> 52.204.91.203:443               13      5253      15      4445      28      9698    32,592007000        60,4110
192.168.20.102:44786       <-> 3.233.54.64:443                 13      5253      14      2865      27      8118   872,665396000        44,9280
192.168.20.102:48540       <-> 35.174.225.168:443              12      5187      14      2272      26      7459    92,616036000        65,8180
192.168.20.102:47558       <-> 54.235.48.238:443               13      5809      13      2218      26      8027   393,599171000        59,4200
192.168.20.102:40033       <-> 52.204.91.203:443               12      5187      14      2272      26      7459   512,614230000        60,4020
192.168.20.102:40080       <-> 52.204.91.203:443               12      5187      14      2272      26      7459   572,628259000        61,4460
192.168.20.102:59820       <-> 8.8.8.8:853                     12      6305      14      1326      26      7631   610,365275000        20,4401
192.168.20.102:44582       <-> 54.163.175.227:443              12      5187      14      2272      26      7459   692,621313000        60,8080
192.168.20.102:44253       <-> 3.233.54.64:443                 14      5886      11      2086      25      7972   276,071117000        57,6160
192.168.20.102:39859       <-> 52.204.91.203:443               12      5199      13      2212      25      7411   332,616149000        61,7250
192.168.20.102:39986       <-> 52.204.91.203:443               12      5187      13      2212      25      7399   452,635199000        60,3750
192.168.20.102:44511       <-> 54.163.175.227:443              13      5253      12      2146      25      7399   633,690285000        59,5730
192.168.20.102:40291       <-> 52.204.91.203:443               12      5187      13      2212      25      7399   812,627365000        60,4650
192.168.20.102:47348       <-> 54.235.48.238:443               12      5199      12      2152      24      7351   158,029063000        55,3270
192.168.20.102:44688       <-> 3.233.54.64:443                 12      5187      12      2152      24      7339   752,639339000       164,9551
192.168.20.102:39799       <-> 35.190.88.7:443                 11      6605      12      2625      23      9230     0,031993000       300,5051
192.168.20.102:48672       <-> 35.174.225.168:443              11      5121      12      2146      23      7267   212,586092000        63,9320
192.168.20.102:46584       <-> 3.68.175.98:443                 10      4701      12      1505      22      6206     0,047992000         0,2650
192.168.20.102:59838       <-> 8.8.8.8:853                      9      1232      11      1468      20      2700   632,587283000        20,5744
192.168.20.102:46586       <-> 3.68.175.98:443                  8      4492       9      1313      17      5805     0,071991000         0,2360
192.168.20.102:45826       <-> 18.159.197.225:443              10      5098       7      1187      17      6285   910,301414000         0,8360
192.168.20.102:42966       <-> 216.58.208.164:443               8      1597       8      1422      16      3019    34,777005000         0,1149
192.168.20.102:60800       <-> 142.250.184.68:443               8      1597       8      1422      16      3019   300,896130000         0,1376
192.168.20.102:33042       <-> 142.250.184.68:443               8      1597       8      1422      16      3019   830,723375000         0,1224
192.168.20.102:45823       <-> 18.159.197.225:443               7      1168       8      1247      15      2415   910,286416000         0,2020
192.168.20.102:44776       <-> 54.163.175.227:443               8      4900       7      1864      15      6764   916,961418000         0,5400
192.168.20.102:45824       <-> 18.159.197.225:443               6      1090       8      1247      14      2337   911,287414000         0,1260
192.168.20.102:54874       <-> 216.58.205.67:80                 4       374       5       565       9       939    34,779005000         0,0750
192.168.20.102:48041       <-> 142.250.184.35:80                4       374       5       565       9       939   300,892131000         0,0760
192.168.20.102:48518       <-> 142.250.184.35:80                4       374       5       565       9       939   831,722378000         0,0870
192.168.20.102:39133       <-> 35.190.88.7:443                  1        66       1        66       2       132   111,660744000         0,0393
================================================================================
